date,title,achievement_id
2015-08-12T09:04:20.000000,If I Were a Rich Man,3152
2015-08-12T09:52:52.000000,I Know a Shortcut!,3220
2015-08-12T09:55:34.000000,I'm a Super Star!,3223
2015-08-12T09:57:57.000000,Right Then...,3389
2015-08-12T10:36:07.000000,Ibaraki Prefecture,1171
2015-08-12T11:42:58.000000,Reunion With Friends,16801
2015-08-12T11:42:59.000000,Inside Buu Buu's Belly,16796
2015-08-12T11:43:00.000000,All New Gohan,16782
2015-08-12T11:43:00.000000,Awoken Powers,16776
2015-08-12T11:43:00.000000,One Hour Left,16775
2015-08-12T12:10:32.000000,Otherworldly,16282
2015-08-12T22:51:07.000000,I Can Fly!,2060
2015-08-12T22:51:08.000000,Minish Cartographer,2249
2015-08-12T22:51:08.000000,Rupee Gatherer,1474
2015-08-12T22:51:08.000000,Rupee Accumulator,1473
2015-08-12T22:51:09.000000,Miracle Maker,2347
2015-08-12T22:51:10.000000,Making a Splash,2035
2015-08-12T23:26:19.000000,Rupee Collector,2179
2015-08-13T14:31:25.000000,Across the Sea,489
2015-08-13T17:39:43.000000,Magnet Beam,3411
2015-08-13T18:14:37.000000,Iceman,3407
2015-08-13T20:18:06.000000,Mutation,1969
2015-08-13T20:32:15.000000,I'm a Little Spider,1944
2015-08-13T21:48:07.000000,In the Oven,1949
2015-08-14T01:49:28.000000,Marathon,23571
2015-08-14T02:07:32.000000,Olympic Sprint,23572
2015-08-14T13:47:43.000000,Ice Ice Baby,138101
2015-08-15T20:14:35.000000,Rival,27592
2015-08-15T21:34:02.000000,Rival 2,27593
2015-08-16T00:01:46.000000,All-Star Player,23578
2015-08-16T00:01:47.000000,Master Stacker,23566
2015-08-16T00:01:47.000000,Apprentice Stacker,23564
2015-08-16T00:01:48.000000,A New Difficulty Approaches,23577
2015-08-16T15:24:32.000000,Reinforcements,3613
2015-08-16T15:39:25.000000,Master Sergeant,3599
2015-08-16T20:43:31.000000,Rival 3,27594
2015-08-17T01:38:08.000000,A Sheng-Long Journey,6133
2015-08-18T00:56:10.000000,Alleycat Blues,6678
2015-08-18T00:59:55.000000,Rock Em Sock Em Felix,6680
2015-08-18T14:22:43.000000,Mistress of the Dark,6137
2015-08-18T18:42:35.000000,Armored to the Teeth,19858
2015-08-18T19:10:26.000000,Robo Duck,19862
2015-08-18T20:48:08.000000,Map Collected,19857
2015-08-18T21:37:59.000000,Mu,19851
2015-08-18T22:06:27.000000,A Trick Up My Hat,19855
2015-08-19T01:21:52.000000,Ragnarok's Canyon,4253
2015-08-20T18:26:32.000000,Officer's Puzzle Prowess,6146
2015-08-20T19:21:43.000000,Rival 4,27595
2015-08-20T19:34:40.000000,Magma Hideout,27606
2015-08-20T19:51:56.000000,Aqua Hideout,27607
2015-08-21T15:48:00.000000,Insane Stacker,23567
2015-08-21T16:56:31.000000,Mind Badge,27602
2015-08-21T17:59:23.000000,Rain Badge,27603
2015-08-21T18:13:23.000000,Rayquaza,27620
2015-08-23T22:35:06.000000,On the Chase,1583
2015-08-30T22:03:59.000000,It's Called a PAN Card,23042
2015-08-31T20:41:47.000000,It Works Together With Your Body's Electrical Field,23043
2015-09-01T16:22:29.000000,Marooned in the Lagoon,22783
2015-09-01T16:58:11.000000,Ooga Booga,22770
2015-09-02T17:47:02.000000,A Brutal Sharking,22790
