date,hardcore_mode,achievement_id,title,description,badge_name,points,true_ratio,type,author,game_title,game_icon,game_id,console_name,cumul_score,badge_u_r_l,game_u_r_l,datetime,retro_ratio
2023-01-09 03:01:54,1,278689,AotW 2022 - TheRealBillHicks,Bronze qualifier of AotW 2022 - 20 pts,308366,0,0,,RAEvents,Achievement of the Week 2022 Bronze,/Images/066569.png,22091,Events,2011,/Badge/308366.png,/game/22091,2023-01-09T03:01:54.000000,NaN
2023-01-09 03:01:54,1,278701,AotW 2022 - Kinglink,Bronze qualifier of AotW 2022 - 14 pts,308366,0,0,,RAEvents,Achievement of the Week 2022 Bronze,/Images/066569.png,22091,Events,2011,/Badge/308366.png,/game/22091,2023-01-09T03:01:54.000000,NaN
2023-01-09 03:01:54,1,278680,AotW 2022 - GalacticSpear,Bronze qualifier of AotW 2022 - 25 pts,308366,0,0,,RAEvents,Achievement of the Week 2022 Bronze,/Images/066569.png,22091,Events,2011,/Badge/308366.png,/game/22091,2023-01-09T03:01:54.000000,NaN
2024-01-10 01:25:44,1,58090,Let There Be Light!,Raise the Venetian blinds.,85555,0,0,progression,Celeryyy,Venetian Blinds Demo,/Images/072118.png,11715,Atari 2600,1164,/Badge/85555.png,/game/11715,2024-01-10T01:25:44.000000,NaN
2023-01-09 03:01:54,1,278692,AotW 2022 - Dekgear,Bronze qualifier of AotW 2022 - 17 pts,308366,0,0,,RAEvents,Achievement of the Week 2022 Bronze,/Images/066569.png,22091,Events,2011,/Badge/308366.png,/game/22091,2023-01-09T03:01:54.000000,NaN
2022-01-16 02:01:07,1,95976,Sowing the Seeds,Watch the entire intro,105565,0,0,missable,WilHiteWarrior,Snatcher,/Images/030095.png,10067,Sega CD,3011,/Badge/105565.png,/game/10067,2022-01-16T02:01:07.000000,NaN
2023-01-09 03:01:54,1,278683,AotW 2022 - elbearno,Bronze qualifier of AotW 2022 - 23 pts,308366,0,0,,RAEvents,Achievement of the Week 2022 Bronze,/Images/066569.png,22091,Events,2011,/Badge/308366.png,/game/22091,2023-01-09T03:01:54.000000,NaN
2024-03-26 18:57:03,1,80381,Green Machine,Find the an invincibility item.,86779,0,0,,MGNS8M,Super Godzilla,/Images/010114.png,1218,SNES/Super Famicom,1318,/Badge/86779.png,/game/1218,2024-03-26T18:57:03.000000,NaN
2023-01-09 03:01:54,1,278686,AotW 2022 - Nachonashi,Bronze qualifier of AotW 2022 - 21 pts,308366,0,0,,RAEvents,Achievement of the Week 2022 Bronze,/Images/066569.png,22091,Events,2011,/Badge/308366.png,/game/22091,2023-01-09T03:01:54.000000,NaN
2023-01-09 03:01:54,1,278698,AotW 2022 - miccmike,Bronze qualifier of AotW 2022 - 15 pts,308366,0,0,,RAEvents,Achievement of the Week 2022 Bronze,/Images/066569.png,22091,Events,2011,/Badge/308366.png,/game/22091,2023-01-09T03:01:54.000000,NaN
2023-05-08 20:53:34,1,67126,I wish Grandma could help me,Bake 100 Cookies.,70841,0,0,progression,SporyTike,~Homebrew~ Cookie Clicker,/Images/019687.png,13393,NES/Famicom,285,/Badge/70841.png,/game/13393,2023-05-08T20:53:34.000000,NaN
2024-01-22 08:43:37,1,391436,Amir96lx's Waluigi Island,Amir96lx was the Superstar for this Board!,442708,0,0,,RAEvents,Mario Party RA - Bonus,/Images/088436.png,28306,Events,84,/Badge/442708.png,/game/28306,2024-01-22T08:43:37.000000,NaN
2023-01-09 03:01:54,1,278707,AotW 2022 - ozonio,Bronze qualifier of AotW 2022 - 13 pts,308366,0,0,,RAEvents,Achievement of the Week 2022 Bronze,/Images/066569.png,22091,Events,2011,/Badge/308366.png,/game/22091,2023-01-09T03:01:54.000000,NaN
2023-01-09 03:01:54,1,278704,AotW 2022 - Cerlayjux,Bronze qualifier of AotW 2022 - 13 pts,308366,0,0,,RAEvents,Achievement of the Week 2022 Bronze,/Images/066569.png,22091,Events,2011,/Badge/308366.png,/game/22091,2023-01-09T03:01:54.000000,NaN
2023-01-09 03:01:54,1,278695,AotW 2022 - SirRamEsq,Bronze qualifier of AotW 2022 - 16 pts,308366,0,0,,RAEvents,Achievement of the Week 2022 Bronze,/Images/066569.png,22091,Events,2011,/Badge/308366.png,/game/22091,2023-01-09T03:01:54.000000,NaN
2023-12-27 01:09:11,1,219587,Party Time!,Disco! Disco! Disco! Cycle through all of the different color pallets.,242808,0,0,,Retrokaiser,~Prototype~ ClayFighter 2,/Images/058013.png,16794,32X,2002,/Badge/242808.png,/game/16794,2023-12-27T01:09:11.000000,NaN
2023-11-28 00:46:44,1,335972,Do It Yourself,Create and solve your own puzzle in Edit Mode,379412,0,0,,UnsolidSnake,Nazo Puyo,/Images/074182.png,20259,Game Gear,2576,/Badge/379412.png,/game/20259,2023-11-28T00:46:44.000000,NaN
2023-09-23 23:11:29,1,357849,14th Place,28 Points - Brandovsky | Falcus | orchidcnr | TheMysticalOne,403102,0,0,,BahamutVoid,Console Wars I - Bonus,/Images/082855.png,8033,Events,939,/Badge/403102.png,/game/8033,2023-09-23T23:11:29.000000,NaN
2024-08-03 22:13:02,1,430263,Fourth Winner: Tyrota,Was the fourth person to earn 52 points in RA Roulette 2024!,485542,0,0,,RAEvents,RA Roulette 2024,/Images/097453.png,29834,Events,715,/Badge/485542.png,/game/29834,2024-08-03T22:13:02.000000,NaN
2023-01-09 03:01:54,1,278710,AotW 2022 - Xiroes,Bronze qualifier of AotW 2022 - 13 pts,308366,0,0,,RAEvents,Achievement of the Week 2022 Bronze,/Images/066569.png,22091,Events,2011,/Badge/308366.png,/game/22091,2023-01-09T03:01:54.000000,NaN
2023-09-21 19:07:15,1,357388,Fire Crystal - Geomancer,Geomancer was rolled 39 times - 17% of the total!,402665,0,0,,RAEvents,Four Job Fiesta [Regular] - Superboss Slayer,/Images/082702.png,7996,Events,675,/Badge/402665.png,/game/7996,2023-09-21T19:07:15.000000,NaN
2024-05-15 02:43:15,1,118559,The Unwanted - Bronze I,Obtained by reaching 9 bronze tokens in a month. Do this in 12 different months to earn the event mastery!,178504,0,0,,TheUnwanted,The Unwanted [Bronze],/Images/044079.png,8275,Events,1181,/Badge/178504.png,/game/8275,2024-05-15T02:43:15.000000,NaN
2023-09-21 19:07:14,1,357382,Water Crystal - Red Mage,Red Mage was rolled 52 times - 22% of the total!,402665,0,0,,RAEvents,Four Job Fiesta [Regular] - Superboss Slayer,/Images/082702.png,7996,Events,675,/Badge/402665.png,/game/7996,2023-09-21T19:07:14.000000,NaN
2023-03-22 02:25:56,1,301677,Sairotra,"“Felt creatively fatigued, so I just made Bendy purple and gave them a doobie”",335449,0,0,,RAEvents,Daily DistRActions Season 3,/Images/067911.png,3911,Events,1145,/Badge/335449.png,/game/3911,2023-03-22T02:25:56.000000,NaN
2022-12-16 03:01:47,1,216732,No Breaks Allowed,Pausing disables all achievements.,239694,0,0,,Blazekickn,~Homebrew~ Flappy Bird: Testing,/Images/057395.png,19508,Atari Lynx,1726,/Badge/239694.png,/game/19508,2022-12-16T03:01:47.000000,NaN
2024-02-07 16:15:40,0,395920,Save State Hero - Sixth - Tenth Place,Yurana (73) | SlashTangent (68) | StingX2 (38) | WanderingHeiho (36) | televandalist (22),447905,0,0,,QATeam,Devember🍂2023,/Images/089206.png,28327,Events,1522,/Badge/447905.png,/game/28327,2024-02-07T16:15:40.000000,NaN
2023-03-22 02:25:55,1,301650,14ausher,"“I was going to do 7 Shadow the Hedgehog routes, but I ran out of time, so…”",335422,0,0,,RAEvents,Daily DistRActions Season 3,/Images/067911.png,3911,Events,1145,/Badge/335422.png,/game/3911,2023-03-22T02:25:55.000000,NaN
2023-01-09 03:05:51,1,278844,PS2 Launch Event - Bronze,Bronze qualifier of the PS2 Launch Event,308435,0,0,,RAEvents,PlayStation 2 Launch Event - Bronze,/Images/066563.png,22095,Events,2011,/Badge/308435.png,/game/22095,2023-01-09T03:05:51.000000,NaN
2024-02-07 16:15:40,0,395914,Most Wheel Challenges - First Place,wolfman2000,447905,0,0,,QATeam,Devember🍂2023,/Images/089206.png,28327,Events,1522,/Badge/447905.png,/game/28327,2024-02-07T16:15:40.000000,NaN
2023-01-09 03:01:55,1,278725,AotW 2022 - wintzyy,Bronze qualifier of AotW 2022 - 12 pts,308366,0,0,,RAEvents,Achievement of the Week 2022 Bronze,/Images/066569.png,22091,Events,2011,/Badge/308366.png,/game/22091,2023-01-09T03:01:55.000000,NaN
2023-03-22 02:25:56,1,301656,CuddleBugs,“I'd rather run into the same enemy 10 times before putting on the brakes.”,335428,0,0,,RAEvents,Daily DistRActions Season 3,/Images/067911.png,3911,Events,1145,/Badge/335428.png,/game/3911,2023-03-22T02:25:56.000000,NaN
2024-04-21 22:08:30,1,392103,"We who are About to die, Salute you",Cause a TILT penalty on any table.,443483,0,0,,AfroRyan,Digital Pinball: Last Gladiators,/Images/083652.png,20455,Saturn,2183,/Badge/443483.png,/game/20455,2024-04-21T22:08:30.000000,NaN
2023-09-21 19:07:15,1,357385,Water Crystal - Berserker,Berserker was rolled 32 times - 14% of the total!,402665,0,0,,RAEvents,Four Job Fiesta [Regular] - Superboss Slayer,/Images/082702.png,7996,Events,675,/Badge/402665.png,/game/7996,2023-09-21T19:07:15.000000,NaN
2024-02-07 16:15:40,0,395917,Save State Hero - Second Place,Tayadaoc (149),447905,0,0,,QATeam,Devember🍂2023,/Images/089206.png,28327,Events,1522,/Badge/447905.png,/game/28327,2024-02-07T16:15:40.000000,NaN
2023-03-22 02:25:56,1,301665,LogicalFallacy,"“Dear diary,”",335437,0,0,,RAEvents,Daily DistRActions Season 3,/Images/067911.png,3911,Events,1145,/Badge/335437.png,/game/3911,2023-03-22T02:25:56.000000,NaN
2017-07-13 17:28:28,1,24700,Triple Threat,Use Multi-Warhead Missiles,25281,0,0,,ENZYME1,Blaster Master,/Images/054344.png,1459,NES/Famicom,2139,/Badge/25281.png,/game/1459,2017-07-13T17:28:28.000000,NaN
2023-09-21 19:07:14,1,357379,Wind Crystal - Black Mage,Black Mage was rolled 47 times - 18% of the total!,402665,0,0,,RAEvents,Four Job Fiesta [Regular] - Superboss Slayer,/Images/082702.png,7996,Events,675,/Badge/402665.png,/game/7996,2023-09-21T19:07:14.000000,NaN
2024-05-23 03:33:11,1,430114,Turn up the Heat,Players kept a cool head and defeated an ancient evil.,485056,0,0,,RAEvents,Achievement of the Week 2024 - Akira Toriyama,/Images/097355.png,29830,Events,1925,/Badge/485056.png,/game/29830,2024-05-23T03:33:11.000000,NaN
2023-03-06 21:39:36,1,78967,NO RETRIES ALLOWED,"'Obtain a Platinum Trophy' achievements must be done without retrying in the 2nd, 3rd & 4th races of the tourneys (1st allowed)",85080,0,0,,Thoreau,Mickey's Speedway USA,/Images/025926.png,10256,Nintendo 64,414,/Badge/85080.png,/game/10256,2023-03-06T21:39:36.000000,NaN
2024-02-21 04:31:14,1,400377,Silver Challengers,39 challengers earned at least 60 points!,452826,0,0,,RAEvents,Challenge League: The Top 100 - Bronze,/Images/089207.png,28430,Events,545,/Badge/452826.png,/game/28430,2024-02-21T04:31:14.000000,NaN
